session_id,request_id,rank,score,relevant,clicked,defect,success,latency_ms,model_version,fallback
s000,r000-1,1,0.97011,1,1,stale_job,1,16.456,2.0.0,0
s000,r000-2,2,0.71833,0,0,stale_job,1,33.061,2.0.0,0
s000,r000-3,3,0.70006,0,0,stale_job,1,24.871,2.0.0,0
s000,r000-4,4,0.50716,0,0,stale_job,1,22.657,2.0.0,0
s000,r000-5,5,0.42302,0,0,stale_job,1,20.748,2.0.0,0
s001,r001-1,1,0.95682,1,1,timeout,0,157.117,2.0.0,1
s001,r001-2,2,0.801,1,1,timeout,1,39.702,2.0.0,0
s001,r001-3,3,0.70097,0,0,timeout,1,34.944,2.0.0,0
s001,r001-4,4,0.55963,0,0,timeout,1,27.689,2.0.0,0
s001,r001-5,5,0.37302,0,0,timeout,1,35.068,2.0.0,0
s002,r002-1,1,0.93937,1,0,none,1,26.127,2.0.0,0
s002,r002-2,2,0.76984,1,1,none,1,39.581,2.0.0,0
s002,r002-3,3,0.70236,1,0,none,1,27.14,2.0.0,0
s002,r002-4,4,0.52616,0,0,none,1,39.844,2.0.0,0
s002,r002-5,5,0.44129,1,0,none,1,30.313,2.0.0,0
s003,r003-1,1,0.88856,0,0,timeout,0,165.732,2.0.0,1
s003,r003-2,2,0.78823,1,1,timeout,1,25.373,2.0.0,0
s003,r003-3,3,0.65601,0,0,timeout,1,41.271,2.0.0,0
s003,r003-4,4,0.54063,0,0,timeout,1,38.234,2.0.0,0
s003,r003-5,5,0.38291,0,0,timeout,1,38.767,2.0.0,0
s004,r004-1,1,0.8843,1,0,none,1,31.42,2.0.0,0
s004,r004-2,2,0.7064,0,0,none,1,44.061,2.0.0,0
s004,r004-3,3,0.6799,1,1,none,1,16.787,2.0.0,0
s004,r004-4,4,0.54114,0,0,none,1,44.957,2.0.0,0
s004,r004-5,5,0.37454,0,0,none,1,24.827,2.0.0,0
s005,r005-1,1,0.92602,0,0,none,1,22.501,2.0.0,0
s005,r005-2,2,0.79551,0,0,none,1,42.032,2.0.0,0
s005,r005-3,3,0.67872,1,1,none,1,34.599,2.0.0,0
s005,r005-4,4,0.53475,0,0,none,1,40.702,2.0.0,0
s005,r005-5,5,0.39595,0,0,none,1,32.081,2.0.0,0
s006,r006-1,1,0.88342,1,1,timeout,0,162.794,2.0.0,1
s006,r006-2,2,0.85057,1,1,timeout,1,19.013,2.0.0,0
s006,r006-3,3,0.63849,1,1,timeout,1,37.351,2.0.0,0
s006,r006-4,4,0.56142,0,0,timeout,1,21.484,2.0.0,0
s006,r006-5,5,0.38856,1,1,timeout,1,40.806,2.0.0,0
s007,r007-1,1,0.90067,1,1,none,1,25.931,2.0.0,0
s007,r007-2,2,0.76369,1,1,none,1,24.55,2.0.0,0
s007,r007-3,3,0.61685,0,0,none,1,37.043,2.0.0,0
