window,request_id,latency_ms,success,score,correct
healthy,healthy-0,46.2636,1,0.66582,1
healthy,healthy-1,25.3292,1,0.69136,0
healthy,healthy-2,33.8266,1,0.8307,1
healthy,healthy-3,37.5281,1,0.31124,1
healthy,healthy-4,40.6164,1,0.83473,1
healthy,healthy-5,50.147,1,0.41142,1
healthy,healthy-6,35.203,1,0.7222,1
healthy,healthy-7,19.3596,1,0.34886,1
healthy,healthy-8,35.4484,1,0.83936,1
healthy,healthy-9,19.6977,1,0.86844,1
healthy,healthy-10,46.5159,1,0.18095,1
healthy,healthy-11,24.5414,1,0.88199,1
healthy,healthy-12,22.7173,1,0.32652,1
healthy,healthy-13,25.3268,1,0.9367,1
healthy,healthy-14,42.053,1,0.3035,1
healthy,healthy-15,50.02,1,0.94805,1
healthy,healthy-16,30.9313,1,0.19591,1
healthy,healthy-17,32.2066,1,0.5669,1
healthy,healthy-18,30.9297,1,0.27644,1
healthy,healthy-19,30.9099,1,0.4261,0
healthy,healthy-20,39.7286,1,0.16211,0
healthy,healthy-21,53.8789,1,0.46193,0
healthy,healthy-22,21.8863,1,0.88493,1
healthy,healthy-23,49.9691,1,0.69191,0
healthy,healthy-24,29.1844,1,0.67314,0
healthy,healthy-25,22.7674,1,0.29808,1
healthy,healthy-26,22.9467,1,0.19363,1
healthy,healthy-27,30.8375,1,0.66997,1
healthy,healthy-28,40.3529,1,0.17109,1
healthy,healthy-29,38.9208,1,0.27544,1
healthy,healthy-30,20.2799,1,0.67151,0
healthy,healthy-31,36.3633,1,0.15503,1
healthy,healthy-32,43.2078,1,0.78412,1
healthy,healthy-33,35.2971,1,0.17905,1
healthy,healthy-34,45.9749,1,0.54968,1
healthy,healthy-35,26.6672,1,0.68283,1
healthy,healthy-36,40.3329,1,0.20825,1
healthy,healthy-37,40.9407,1,0.33734,1
healthy,healthy-38,18.7278,1,0.48437,0
healthy,healthy-39,41.9409,1,0.55492,1
healthy,healthy-40,43.6628,1,0.55712,1
healthy,healthy-41,50.3289,1,0.60146,1
healthy,healthy-42,31.742,1,0.27222,1
healthy,healthy-43,40.2937,1,0.57985,1
healthy,healthy-44,34.6171,1,0.45761,1
healthy,healthy-45,27.2976,1,0.91926,1
healthy,healthy-46,29.1273,1,0.54332,1
healthy,healthy-47,53.1831,1,0.70991,1
healthy,healthy-48,47.8461,1,0.44387,1
healthy,healthy-49,35.2086,1,0.19165,1
healthy,healthy-50,38.4341,1,0.77967,1
healthy,healthy-51,54.1569,1,0.74099,1
healthy,healthy-52,26.4215,1,0.89718,1
healthy,healthy-53,41.456,1,0.305,1
healthy,healthy-54,25.2624,1,0.88458,1
healthy,healthy-55,43.9442,1,0.70339,1
healthy,healthy-56,28.6879,1,0.3115,0
healthy,healthy-57,23.2071,1,0.94985,1
healthy,healthy-58,18.7932,1,0.39077,1
healthy,healthy-59,32.9978,1,0.26158,1
healthy,healthy-60,19.8275,1,0.60749,1
healthy,healthy-61,43.0816,1,0.25065,1
healthy,healthy-62,38.4788,1,0.41043,1
healthy,healthy-63,27.6459,1,0.75058,1
healthy,healthy-64,33.2629,1,0.71349,1
healthy,healthy-65,52.0572,1,0.74312,1
healthy,healthy-66,49.4637,1,0.65202,1
healthy,healthy-67,44.272,1,0.88122,1
healthy,healthy-68,30.7467,1,0.7382,0
healthy,healthy-69,37.4245,1,0.7229,1
healthy,healthy-70,30.3042,1,0.31034,1
healthy,healthy-71,24.1783,1,0.50772,1
healthy,healthy-72,32.0945,1,0.49634,0
healthy,healthy-73,39.8467,1,0.58251,1
healthy,healthy-74,45.7045,1,0.44469,1
healthy,healthy-75,53.2847,1,0.81527,1
healthy,healthy-76,52.3577,1,0.68238,1
healthy,healthy-77,19.6132,1,0.34825,1
healthy,healthy-78,35.9436,1,0.15359,0
healthy,healthy-79,20.4579,1,0.82086,1
healthy,healthy-80,47.566,1,0.79788,1
healthy,healthy-81,31.9736,1,0.56486,1
healthy,healthy-82,27.7192,1,0.16792,1
healthy,healthy-83,51.3598,1,0.72569,1
healthy,healthy-84,30.67,1,0.49931,1
healthy,healthy-85,36.8759,1,0.82,1
healthy,healthy-86,41.697,1,0.66819,1
healthy,healthy-87,23.6114,1,0.24457,1
healthy,healthy-88,49.7662,1,0.85545,1
healthy,healthy-89,38.2815,1,0.64543,1
healthy,healthy-90,29.0469,1,0.53759,1
healthy,healthy-91,30.2756,1,0.44263,0
healthy,healthy-92,25.7499,1,0.5408,1
healthy,healthy-93,20.2602,1,0.56309,1
healthy,healthy-94,37.3986,1,0.94061,1
healthy,healthy-95,41.1591,1,0.85088,1
healthy,healthy-96,46.4765,1,0.25596,1
healthy,healthy-97,46.1138,1,0.77482,1
healthy,healthy-98,19.6453,1,0.21721,1
healthy,healthy-99,20.4183,1,0.87889,1
healthy,healthy-100,26.591,1,0.73012,1
healthy,healthy-101,49.8483,1,0.43144,1
healthy,healthy-102,48.951,1,0.20819,1
healthy,healthy-103,32.0928,1,0.7162,1
healthy,healthy-104,33.6005,1,0.31603,1
healthy,healthy-105,33.4954,1,0.66874,1
healthy,healthy-106,38.6579,1,0.90537,1
healthy,healthy-107,26.7584,1,0.76783,1
healthy,healthy-108,36.8772,1,0.47785,1
healthy,healthy-109,30.2093,1,0.7887,1
healthy,healthy-110,27.2275,1,0.62279,0
healthy,healthy-111,23.8241,1,0.73325,1
