candidate_id,audit_group,score,qualified,selected
c0000,A,0.702798,1,1
c0001,B,0.233252,0,0
c0002,A,0.661427,1,1
c0003,B,0.0,0,0
c0004,A,0.477136,0,0
c0005,B,0.515815,1,1
c0006,A,0.063156,0,0
c0007,B,0.654907,1,1
c0008,A,0.097091,0,0
c0009,B,0.0,0,0
c0010,A,0.782463,1,1
c0011,B,0.086357,0,0
c0012,A,0.938942,1,1
c0013,B,0.126916,0,0
c0014,A,0.732104,1,1
c0015,B,0.641696,1,1
c0016,A,0.613147,1,1
c0017,B,0.538923,1,1
c0018,A,0.712394,1,1
c0019,B,0.469502,1,0
c0020,A,0.759741,1,1
c0021,B,0.305726,0,0
c0022,A,0.083776,0,0
c0023,B,0.314675,0,0
c0024,A,0.584873,1,1
c0025,B,0.267264,0,0
c0026,A,0.373553,0,0
c0027,B,0.564322,1,1
c0028,A,0.164889,0,0
c0029,B,0.332078,0,0
c0030,A,0.924456,1,1
c0031,B,0.605961,1,1
c0032,A,0.852237,1,1
c0033,B,0.0,0,0
c0034,A,0.309327,0,0
c0035,B,0.997642,1,1
c0036,A,0.830205,1,1
c0037,B,0.502903,0,1
c0038,A,0.853873,1,1
c0039,B,0.262673,0,0
c0040,A,0.552888,1,1
c0041,B,1.0,1,1
c0042,A,0.45252,0,0
c0043,B,0.781672,1,1
c0044,A,0.127788,0,0
c0045,B,0.638694,1,1
c0046,A,0.766492,1,1
c0047,B,0.395237,0,0
c0048,A,0.786713,1,1
c0049,B,0.822039,1,1
c0050,A,0.0,0,0
c0051,B,0.417962,1,0
c0052,A,0.242205,0,0
c0053,B,0.404635,0,0
c0054,A,0.610307,0,1
c0055,B,0.216631,0,0
c0056,A,0.577146,1,1
c0057,B,1.0,1,1
c0058,A,0.228008,0,0
c0059,B,0.068831,0,0
c0060,A,0.627813,1,1
c0061,B,0.496329,1,0
c0062,A,0.0,0,0
c0063,B,0.943274,1,1
c0064,A,0.912389,1,1
c0065,B,0.0,0,0
c0066,A,0.910002,1,1
c0067,B,0.474913,0,0
c0068,A,0.078287,0,0
c0069,B,0.0,0,0
c0070,A,0.415547,0,0
c0071,B,0.853105,1,1
c0072,A,0.446816,0,0
c0073,B,0.826675,1,1
c0074,A,0.102397,0,0
c0075,B,0.891651,1,1
c0076,A,0.397717,0,0
c0077,B,0.220219,0,0
c0078,A,0.288909,0,0
c0079,B,0.189737,0,0
c0080,A,0.031795,0,0
c0081,B,0.863095,1,1
c0082,A,0.912871,1,1
c0083,B,0.69438,1,1
c0084,A,0.340469,0,0
c0085,B,0.709442,1,1
c0086,A,0.504012,0,1
c0087,B,0.048609,0,0
c0088,A,0.020714,0,0
c0089,B,0.502277,0,1
c0090,A,0.622394,1,1
c0091,B,0.0,0,0
c0092,A,0.317949,0,0
c0093,B,0.383381,0,0
c0094,A,0.110786,0,0
c0095,B,0.305118,0,0
c0096,A,0.326503,0,0
c0097,B,0.821211,1,1
c0098,A,0.839491,1,1
c0099,B,0.931166,1,1
c0100,A,1.0,1,1
c0101,B,0.09692,0,0
c0102,A,0.503932,0,1
c0103,B,0.137542,0,0
c0104,A,0.441511,0,0
c0105,B,0.778281,1,1
c0106,A,0.277139,0,0
c0107,B,1.0,1,1
c0108,A,0.546619,1,1
c0109,B,0.251222,0,0
c0110,A,0.880828,1,1
c0111,B,0.70025,1,1
c0112,A,0.0,0,0
c0113,B,0.804996,1,1
c0114,A,0.189138,0,0
c0115,B,0.17785,0,0
c0116,A,0.568508,1,1
c0117,B,0.067651,0,0
c0118,A,0.892843,1,1
c0119,B,0.726842,1,1
c0120,A,0.335056,0,0
c0121,B,0.885872,1,1
c0122,A,0.191803,0,0
c0123,B,0.338032,0,0
c0124,A,0.650138,1,1
c0125,B,0.818199,1,1
c0126,A,0.0,0,0
c0127,B,1.0,1,1
c0128,A,0.087671,0,0
c0129,B,0.994388,1,1
c0130,A,0.936637,1,1
c0131,B,0.10489,0,0
c0132,A,0.802078,1,1
c0133,B,0.881853,1,1
c0134,A,0.801261,1,1
c0135,B,0.306624,0,0
c0136,A,0.703228,1,1
c0137,B,0.099345,0,0
c0138,A,0.046777,0,0
c0139,B,0.583892,1,1
c0140,A,0.750226,1,1
c0141,B,0.372659,0,0
c0142,A,0.616726,0,1
c0143,B,0.005574,0,0
c0144,A,0.422451,0,0
c0145,B,0.777768,1,1
c0146,A,0.627242,1,1
c0147,B,0.682851,1,1
c0148,A,0.459272,0,0
c0149,B,0.885028,1,1
c0150,A,0.75835,1,1
c0151,B,0.539629,1,1
c0152,A,0.195908,0,0
c0153,B,0.948288,1,1
c0154,A,0.905881,1,1
c0155,B,0.078588,0,0
c0156,A,0.360723,0,0
c0157,B,0.967942,1,1
