window,request_id,latency_ms,success,score,correct,model_version
normal,n-0000,20.6701,1,0.89509,1,2.0.0
normal,n-0001,16.9231,1,0.85378,1,2.0.0
normal,n-0002,12.975,1,0.91473,1,2.0.0
normal,n-0003,19.0357,1,0.51806,1,2.0.0
normal,n-0004,14.861,1,0.71501,1,2.0.0
normal,n-0005,23.7833,1,0.79585,1,2.0.0
normal,n-0006,30.9707,1,0.3357,1,2.0.0
normal,n-0007,22.7961,1,0.27799,0,2.0.0
normal,n-0008,26.6287,1,0.27367,1,2.0.0
normal,n-0009,21.5318,1,0.34205,1,2.0.0
normal,n-0010,22.5971,1,0.25278,1,2.0.0
normal,n-0011,23.8433,1,0.29531,1,2.0.0
normal,n-0012,12.9321,1,0.32905,1,2.0.0
normal,n-0013,17.0788,1,0.51816,1,2.0.0
normal,n-0014,22.0179,1,0.5706,1,2.0.0
normal,n-0015,23.103,1,0.24321,1,2.0.0
normal,n-0016,18.5055,1,0.2358,1,2.0.0
normal,n-0017,30.7322,1,0.67162,1,2.0.0
normal,n-0018,22.994,1,0.36472,1,2.0.0
normal,n-0019,20.0605,1,0.24814,1,2.0.0
normal,n-0020,14.1303,1,0.71337,1,2.0.0
normal,n-0021,29.3764,1,0.36461,1,2.0.0
normal,n-0022,33.8624,1,0.48049,1,2.0.0
normal,n-0023,25.1431,1,0.66406,1,2.0.0
normal,n-0024,22.3947,1,0.42783,1,2.0.0
normal,n-0025,22.5229,1,0.711,1,2.0.0
normal,n-0026,20.1631,1,0.93961,1,2.0.0
normal,n-0027,29.3791,1,0.51295,1,2.0.0
normal,n-0028,28.2885,1,0.62461,1,2.0.0
normal,n-0029,17.2795,1,0.21204,1,2.0.0
normal,n-0030,17.9537,1,0.28333,1,2.0.0
normal,n-0031,25.5924,1,0.22426,1,2.0.0
normal,n-0032,15.7621,1,0.84894,1,2.0.0
normal,n-0033,33.6162,1,0.65941,1,2.0.0
normal,n-0034,21.4032,1,0.92487,1,2.0.0
normal,n-0035,15.5627,1,0.47592,1,2.0.0
normal,n-0036,14.1481,1,0.64525,1,2.0.0
normal,n-0037,16.9875,1,0.6139,1,2.0.0
normal,n-0038,32.5242,1,0.32848,1,2.0.0
normal,n-0039,32.9844,1,0.44485,1,2.0.0
normal,n-0040,30.3736,1,0.39815,1,2.0.0
normal,n-0041,27.8908,1,0.41949,1,2.0.0
normal,n-0042,18.6567,1,0.80481,1,2.0.0
normal,n-0043,18.2977,1,0.84311,1,2.0.0
normal,n-0044,22.0419,1,0.58693,1,2.0.0
normal,n-0045,18.5962,1,0.75769,0,2.0.0
normal,n-0046,19.8609,1,0.55768,1,2.0.0
normal,n-0047,23.2254,1,0.46979,1,2.0.0
normal,n-0048,18.8681,1,0.43546,1,2.0.0
normal,n-0049,29.8748,1,0.47005,1,2.0.0
normal,n-0050,13.1987,1,0.27238,1,2.0.0
normal,n-0051,25.4008,1,0.59077,1,2.0.0
normal,n-0052,32.1986,1,0.70278,1,2.0.0
normal,n-0053,32.5978,1,0.43538,1,2.0.0
normal,n-0054,34.4511,1,0.8816,1,2.0.0
normal,n-0055,31.568,1,0.93824,1,2.0.0
