number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_split,params_n_estimators,state
0,1.0,2026-07-07 12:06:50.171435,2026-07-07 12:06:50.465620,0 days 00:00:00.294185,5,3,155,COMPLETE
1,1.0,2026-07-07 12:06:50.465948,2026-07-07 12:06:50.747323,0 days 00:00:00.281375,2,2,165,COMPLETE
2,1.0,2026-07-07 12:06:50.747672,2026-07-07 12:06:50.884666,0 days 00:00:00.136994,9,4,78,COMPLETE
3,1.0,2026-07-07 12:06:50.885020,2026-07-07 12:06:51.198195,0 days 00:00:00.313175,5,9,188,COMPLETE
4,1.0,2026-07-07 12:06:51.198540,2026-07-07 12:06:51.420845,0 days 00:00:00.222305,5,5,130,COMPLETE
5,1.0,2026-07-07 12:06:51.421204,2026-07-07 12:06:51.616009,0 days 00:00:00.194805,6,2,115,COMPLETE
6,1.0,2026-07-07 12:06:51.616338,2026-07-07 12:06:51.821730,0 days 00:00:00.205392,7,8,120,COMPLETE
7,1.0,2026-07-07 12:06:51.822070,2026-07-07 12:06:51.917700,0 days 00:00:00.095630,2,2,52,COMPLETE
8,1.0,2026-07-07 12:06:51.918058,2026-07-07 12:06:52.107904,0 days 00:00:00.189846,10,3,109,COMPLETE
9,1.0,2026-07-07 12:06:52.108228,2026-07-07 12:06:52.257642,0 days 00:00:00.149414,5,3,85,COMPLETE
10,1.0,2026-07-07 12:06:52.257975,2026-07-07 12:06:52.519552,0 days 00:00:00.261577,8,6,154,COMPLETE
11,1.0,2026-07-07 12:06:52.519892,2026-07-07 12:06:52.811437,0 days 00:00:00.291545,2,6,170,COMPLETE
12,1.0,2026-07-07 12:06:52.811765,2026-07-07 12:06:53.070134,0 days 00:00:00.258369,3,4,152,COMPLETE
13,1.0,2026-07-07 12:06:53.070517,2026-07-07 12:06:53.411425,0 days 00:00:00.340908,3,2,200,COMPLETE
14,1.0,2026-07-07 12:06:53.411756,2026-07-07 12:06:53.668007,0 days 00:00:00.256251,4,4,150,COMPLETE
15,1.0,2026-07-07 12:06:53.668319,2026-07-07 12:06:53.957992,0 days 00:00:00.289673,7,3,172,COMPLETE
16,1.0,2026-07-07 12:06:53.958332,2026-07-07 12:06:54.191005,0 days 00:00:00.232673,3,6,136,COMPLETE
17,1.0,2026-07-07 12:06:54.191351,2026-07-07 12:06:54.486443,0 days 00:00:00.295092,4,5,173,COMPLETE
18,1.0,2026-07-07 12:06:54.486777,2026-07-07 12:06:54.802474,0 days 00:00:00.315697,6,2,185,COMPLETE
19,1.0,2026-07-07 12:06:54.802805,2026-07-07 12:06:55.070869,0 days 00:00:00.268064,2,10,157,COMPLETE
