mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05899734497070312,0.010718490749328607,0.0017689704895019532,0.0005023090893382863,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056693,13
0.11258292198181152,0.013083543604441,0.002460289001464844,4.599078941220387e-05,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9582417582417582,0.017582417582417565,5
0.19860715866088868,0.012949121733792071,0.004970979690551758,0.0013290671558455272,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.04653949737548828,0.003932191184036842,0.002393198013305664,0.0013686201878253185,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9516483516483516,0.014906219743132448,18
0.0938784122467041,0.010099370367609578,0.004762792587280273,0.0007319693079848049,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9582417582417582,0.01281527888976989,5
0.17447071075439452,0.016263538607768527,0.007750368118286133,0.002696491500226627,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9560439560439561,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9582417582417582,0.010766987880365607,5
0.045409440994262695,0.002942783571927093,0.0015551090240478516,0.0002899029769144956,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.945054945054945,0.945054945054945,0.967032967032967,0.945054945054945,0.9340659340659341,0.9472527472527472,0.010766987880365621,26
0.09462938308715821,0.00990504512514639,0.004535245895385742,0.0014882019214539736,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.945054945054945,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9538461538461538,0.01281527888976989,13
0.21233692169189453,0.01997841744390568,0.007827377319335938,0.0026469602154444182,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9560439560439561,0.9340659340659341,0.978021978021978,0.9340659340659341,0.945054945054945,0.9494505494505494,0.01644684565614918,21
0.04773259162902832,0.008101112391520468,0.0018899917602539062,0.0007740564929986713,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.945054945054945,0.945054945054945,0.967032967032967,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.008223422828074613,13
0.10237045288085937,0.01648264490568139,0.010776329040527343,0.008107489786130401,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9604395604395604,0.011206636293610508,3
0.17317919731140136,0.018010735812097084,0.0066558837890625,0.002121862514508332,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.967032967032967,0.9340659340659341,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9582417582417582,0.014578570507056687,5
0.04765110015869141,0.0036070583875886953,0.0013623237609863281,1.05153135173443e-05,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9560439560439561,0.9340659340659341,0.967032967032967,0.945054945054945,0.9560439560439561,0.9516483516483516,0.011206636293610524,18
0.09293131828308106,0.018869297346894985,0.003923559188842773,0.0015894896125666328,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9604395604395604,0.011206636293610508,3
0.1676645278930664,0.012708726106052509,0.005427837371826172,0.0014607603168968195,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.945054945054945,0.9340659340659341,0.978021978021978,0.945054945054945,0.945054945054945,0.9494505494505494,0.014906219743132446,21
0.04197988510131836,0.010621207198177118,0.0025448322296142576,0.0013353290634022105,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9340659340659341,0.9340659340659341,0.978021978021978,0.9340659340659341,0.967032967032967,0.9494505494505494,0.019159995356222728,21
0.08005037307739257,0.006017546487037752,0.004053783416748047,0.0010160734283726196,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9560439560439561,0.9340659340659341,0.978021978021978,0.9560439560439561,0.9560439560439561,0.956043956043956,0.013900121583157697,12
0.1509528636932373,0.00901411499276709,0.005531454086303711,0.0013232134449236088,5,10,200,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.945054945054945,0.9340659340659341,0.978021978021978,0.945054945054945,0.945054945054945,0.9494505494505494,0.014906219743132446,21
0.04044709205627441,0.0035437273289370174,0.0020404815673828124,0.0008515650108376874,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056693,13
0.08324894905090333,0.011349339108486511,0.003900432586669922,0.0013419345330131613,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9582417582417582,0.017582417582417565,5
0.16396560668945312,0.008171457442340099,0.007595205307006836,0.002329195195125745,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.978021978021978,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9626373626373625,0.013186813186813171,1
0.0430854320526123,0.004592644148048269,0.0023486137390136717,0.0006984032417513043,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9340659340659341,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9516483516483516,0.014906219743132448,18
0.07994980812072754,0.004955673699529068,0.003160905838012695,0.0011332410759600097,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.967032967032967,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9582417582417582,0.01281527888976989,5
0.1625443935394287,0.013486165801491718,0.00638875961303711,0.0024656346551154254,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9560439560439561,0.945054945054945,0.978021978021978,0.9560439560439561,0.9560439560439561,0.9582417582417582,0.010766987880365607,5
0.03650598526000977,0.004336095504847635,0.0021512508392333984,0.0007480450911041934,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.945054945054945,0.945054945054945,0.967032967032967,0.945054945054945,0.9340659340659341,0.9472527472527472,0.010766987880365621,26
0.08257145881652832,0.004963659709663315,0.004029178619384765,0.0014186835987762506,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.945054945054945,0.945054945054945,0.978021978021978,0.9560439560439561,0.945054945054945,0.9538461538461538,0.01281527888976989,13
0.15112876892089844,0.01227835160796881,0.005859375,0.0017680233070932966,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.9560439560439561,0.9340659340659341,0.978021978021978,0.9340659340659341,0.945054945054945,0.9494505494505494,0.01644684565614918,21
